"Method";"Accuracy";"Kappa";"AccuracyLower";"AccuracyUpper";"AccuracyNull";"AccuracyPValue";"McnemarPValue";"Sensitivity";"Specificity";"Pos.Pred.Value";"Neg.Pred.Value";"Precision";"Recall";"F1";"Prevalence";"Detection.Rate";"Detection.Prevalence";"Balanced.Accuracy"
"knn";0,603267211201867;0,196465035381561;0,596542848607567;0,60996237256153;0,562864644107351;0,0000000000000000000000000000000496689600085443;0,00311920235983048;0,561116672227783;0,636002418588581;0,544875256507182;0,651074365549562;0,544875256507182;0,561116672227783;0,552876712328767;0,437135355892649;0,245283936211591;0,450165305328666;0,598559545408182
"rf";0,716744457409568;0,418792721614351;0,710532041595791;0,722895558490825;0,626847530143913;0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045886993230081;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152897703140175;0,723648208469055;0,712634763049717;0,599848795766281;0,812450260854187;0,599848795766281;0,723648208469055;0,655958426833589;0,373152469856087;0,270031116297161;0,450165305328666;0,718141485759386
"glm";0,552508751458576;0,0314932706008549;0,54568203669459;0,559320619282049;0,88083430571762;1;0;0,511219910240718;0,558094607274935;0,135327789178097;0,894066672561676;0,135327789178097;0,511219910240718;0,21400512382579;0,11916569428238;0,0609198755348114;0,450165305328666;0,534657258757827
"lda";0,552849085958771;0,0316916158772523;0,546022815792011;0,559660412949747;0,883411124076235;1;0;0,512927439532944;0,558117776554761;0,132843719624149;0,89671942700504;0,132843719624149;0,512927439532944;0,211031997941151;0,116588875923765;0,0598016336056009;0,450165305328666;0,535522608043852
"qda";0,541374951380786;-0,00292232807898183;0,534535463019985;0,548202741018378;0,92852975495916;1;0;0,440816326530612;0,549115090585402;0,069985959606869;0,927314528251835;0,069985959606869;0,440816326530612;0,120794109423059;0,0714702450408401;0,0315052508751459;0,450165305328666;0,494965708558007
"rpart";0,606719175418125;0,182359145767227;0,60000445562595;0,613403717632453;0,690684558537534;1;0,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000178497399676127;0,591952216284187;0,613332394762776;0,406739388702884;0,770448315500929;0,406739388702884;0,591952216284187;0,482171435887587;0,309315441462466;0,183099961104629;0,450165305328666;0,602642305523482
"xgbTree";0,673424737456243;0,331202453885804;0,666967285783618;0,679833139070015;0,617366783352781;0,00000000000000000000000000000000000000000000000000000000000000552789909767823;0,000000000000000000000000000000000000000000000000000000000000000245642774400069;0,661499364675985;0,680815876515987;0,562263743384815;0,764435405429304;0,562263743384815;0,661499364675985;0,607858018565007;0,382633216647219;0,253111629716064;0,450165305328666;0,671157620595986
"treebag";0,705270322831583;0,398002573071878;0,698986539678304;0,71149604069525;0,604482691559704;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000127303857667288;0,0000000000000000000000000000000000000000000000367987265515273;0,696496619545175;0,711011019062173;0,611945134463765;0,781678309311168;0,611945134463765;0,696496619545175;0,651489019202024;0,395517308440296;0,275476468300272;0,450165305328666;0,703753819303674
"adaboost";0,686989498249708;0,360663240751691;0,680601754169186;0,693324352741699;0,604482691559704;0,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000193858045208687;0,0000000000000000000000000000000000000000000164868719444107;0,673386601106331;0,695889970240489;0,591640565935846;0,765054381466089;0,591640565935846;0,673386601106331;0,629872369782684;0,395517308440296;0,266336056009335;0,450165305328666;0,68463828567341
"Srednia";0,678383897316219;0,322630532255012;0,67195121269596;0,684766128264564;0,549834694671334;0;0;0,417323685063182;0,89212131930321;0,760031471282455;0,651575820201498;0,760031471282455;0,417323685063182;0,538799414348463;0,450165305328666;0,187864644107351;0,247180085569817;0,654722502183196
